,,int,str,float,int,int,int,int,int,float,float,int,int,int,int,int,int,int,float
0,,¼øÀ§,ÆÀ¸í,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
77,2010,5,µÎ»ê,4.62,133,73,57,30,56,0.562,1179.2,1190,135,437,85,888,669,606,1.38
78,2010,6,·Ôµ¥,4.82,133,69,61,21,37,0.531,1194,1291,149,419,78,779,710,640,1.43
79,2010,7,LG,5.23,133,57,71,31,59,0.445,1188,1279,125,560,104,793,746,690,1.55
80,2010,8,ÇÑÈ­,5.43,133,49,82,24,28,0.374,1169.1,1290,146,551,72,806,763,705,1.57
81,2011,1,»ï¼º,3.35,133,79,50,48,74,0.612,1196.1,1191,92,395,38,841,513,445,1.33
82,2011,2,SK,3.59,133,71,59,37,63,0.546,1192.1,1001,93,541,65,1006,522,476,1.29
83,2011,3,KIA,4.1,133,70,63,29,37,0.526,1163.2,1117,87,457,76,920,580,530,1.35
84,2011,4,LG,4.15,133,59,72,30,50,0.45,1193.2,1173,80,512,71,827,620,550,1.41
85,2011,5,·Ôµ¥,4.2,133,72,56,27,45,0.563,1187,1256,113,430,58,787,619,554,1.42
86,2011,6,µÎ»ê,4.26,133,61,70,34,46,0.466,1188.2,1231,96,476,75,855,619,563,1.44
87,2011,7,³Ø¼¾,4.36,133,51,80,30,66,0.389,1171.1,1167,81,601,76,830,622,568,1.51
88,2011,8,ÇÑÈ­,5.11,133,59,72,26,36,0.45,1175,1273,128,524,55,938,727,667,1.53
89,2012,1,»ï¼º,3.39,133,80,51,39,71,0.611,1187.2,1085,65,384,37,885,473,448,1.24
90,2012,2,·Ôµ¥,3.48,133,65,62,39,63,0.512,1190.1,1145,74,469,53,825,518,460,1.36
91,2012,3,µÎ»ê,3.58,133,68,62,38,47,0.523,1193.1,1053,66,491,57,802,519,475,1.29
92,2012,4,SK,3.82,133,71,59,40,69,0.546,1181.1,1114,90,457,70,814,528,502,1.33
93,2012,5,³Ø¼¾,3.83,133,61,69,36,34,0.469,1187.1,1131,80,535,74,853,551,505,1.4
94,2012,6,KIA,3.9,133,62,65,27,33,0.488,1183.2,1161,69,452,68,822,564,513,1.36
95,2012,7,LG,4.02,133,57,72,35,64,0.442,1202,1235,65,422,71,735,580,537,1.38
96,2012,8,ÇÑÈ­,4.55,133,53,77,29,54,0.408,1172.1,1148,106,488,68,936,647,593,1.4
97,2013,1,LG,3.72,128,74,54,42,86,0.578,1134.2,1131,74,406,87,822,510,469,1.35
